"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Year Established"
"2022","Salas Team","1214 N Front St","19122","Verified","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","10 to 19","Single Loc","13",""
"2022","Salas Team Realty One Group","1214 N Front St","19122","Verified","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","5 to 9","Single Loc","7",""
"2022","Sam's Garage","1329 N Mascher St","19122","Verified","753801","Automobile Repairing & Service","81111104","General Automotive Repair","1 to 4","Single Loc","19",""
"2022","Sankofa Healing Studio","1415 N Broad St # 221c","19122","Verified","999966","Federal Government Contractors","99999005","Unclassified Establishments","5 to 9","Single Loc","6",""
"2022","Santana Auto Repair","1831 Germantown Ave","19122","Verified","753801","Automobile Repairing & Service","81111104","General Automotive Repair","1 to 4","Single Loc","23",""
"2022","Santech Construction","420 W Thompson St","19122","Verified","152144","Construction Companies","23611512","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","11",""
"2022","Santech Construction Corp","1517 N 5th St #112","19122","Verified","152144","Construction Companies","23611512","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","12",""
"2022","Santiago One Hour Cleaners","515 Diamond St","19122","Verified","721201","Cleaners","81232002","Drycleaning And Laundry Services (Except Coin-Oper","1 to 4","Single Loc","20",""
"2022","Sbarro Institute For Cancer","1900 N 12th St","19122","Verified","873312","Cancer Research Centers","54171521","Research And Development In The Physical, Engineer","20 to 49","Single Loc","14",""
"2022","Schober Charles Co","2024 N 2nd St","19122","Verified","509905","Importers (Whls)","42399019","Other Miscellaneous Durable Goods Merchant Wholesa","5 to 9","Single Loc","39","1892"
"2022","School District-Philadelphia","2101 N Orkney St","19122","Verified","821120","School Districts","61111018","Elementary And Secondary Schools","10 to 19","Single Loc","9",""
"2022","Science Engineering Architct","1947 N 12th St # 201","19122","Verified","823109","Libraries-Institutional","51921005","Libraries And Archives","10 to 19","Single Loc","31","1919"
"2022","Second State Press Inc","1400 N American St # 103","19122","Verified","272198","Periodicals-Publishing & Printing (Mfrs)","51312003","Periodical Publishers","10 to 19","Single Loc","16",""
"2022","Second Street Cleaners","1444 N 2nd St","19122","Verified","721201","Cleaners","81232002","Drycleaning And Laundry Services (Except Coin-Oper","1 to 4","Single Loc","14",""
"2022","Sedso Design Group","150 Cecil B Moore Ave # 301","19122","Verified","733603","Graphic Designers","54143006","Graphic Design Services","1 to 4","Single Loc","13","2005"
"2022","Self Inc","1307 W Susquehanna Ave","19122","Verified","836116","Group Homes","62399007","Other Residential Care Facilities","1 to 4","Single Loc","19","1979"
"2022","Self Made Auto Clinic","2043 N Front St","19122","Verified","552198","Automobile/Trucks Dealers-Used","44112003","Used Car Dealers","1 to 4","Single Loc","12",""
"2022","Senator Christine Tartaglione","127 W Susquehanna Ave","19122","Verified","912102","Government Offices-State","92112008","Legislative Bodies","1 to 4","Branch","8",""
"2022","Sewing Factory","1730 N 5th St","19122","Verified","399903","Manufacturers","33999936","All Other Miscellaneous Manufacturing","10 to 19","Single Loc","13",""
"2022","Sexy Green Truck","1256 W Montgomery Ave","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","","Single Loc","4",""
"2022","Shahbaz, Ali","2131 N Broad St","19122","Verified","804939","Pharmacists","62133002","Offices Of Mental Health Practitioners (Except Phy","1 to 4","Single Loc","7",""
"2022","Sharing Love Home Care","1516 N 5th St # 111","19122","Verified","808201","Home Health Service","62161001","Home Health Care Services","10 to 19","Single Loc","9",""
"2022","Sheaffer, Alysia J Np","1900 N 9th St","19122","Verified","804907","Nurses-Practitioners","62139923","Offices Of All Other Miscellaneous Health Practiti","1 to 4","Single Loc","6",""
"2022","Sherwin-Williams","1501 N Broad St # 7","19122","Verified","523107","Paint-Retail","44412003","Paint And Wallpaper Retailers","1 to 4","Branch","34","1899"
"2022","Shober, Evelyn D Cnp","1810 Liacouras Walk # 4","19122","Verified","804907","Nurses-Practitioners","62139923","Offices Of All Other Miscellaneous Health Practiti","1 to 4","Single Loc","10",""
"2022","Shulman, Alicia M","1639 N Hancock St # 102","19122","Verified","804913","Acupuncture","62139901","Offices Of All Other Miscellaneous Health Practiti","1 to 4","Single Loc","8",""
"2022","Singh Tire Ctr","240 Diamond St","19122","Verified","553123","Tire-Dealers-Retail","44134001","Tire Dealers","1 to 4","Single Loc","17",""
"2022","Smith, Alexandra","1748 Waterloo St","19122","Verified","804918","Physical Therapists","62134007","Offices Of Physical, Occupational And Speech Thera","1 to 4","Single Loc","5",""
"2022","Smith, Jesse Allen","1807 Waterloo St","19122","Verified","832215","Marriage & Family Counselors","62419011","Other Individual And Family Services","","Single Loc","5",""
"2022","Snkr Lab LLC","2029 N 8th St","19122","Verified","873104","Laboratories","54171414","Research And Development In Biotechnology (Except","20 to 49","Single Loc","6","2020"
"2022","Solar States","1508 N American St","19122","Verified","173101","Electric Contractors","23821007","Electrical Contractors And Other Wiring Installati","20 to 49","Single Loc","15","2008"
"2022","Solaris Energy LLC","1627 N 2nd St # 210","19122","Verified","171131","Energy Management Systems & Products","23822013","Plumbing, Heating, And Air-Conditioning Contractor","1 to 4","Single Loc","17",""
"2022","Sor Ynez","1800 N American St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","","Single Loc","4",""
"2022","Spanglish Restaurant","116 W Susquehanna Ave","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","17",""
"2022","Spectrum Health Svc Inc","1415 N Broad St # 223","19122","Verified","809907","Health Services","62199921","All Other Miscellaneous Ambulatory Health Care Ser","20 to 49","Branch","18",""
"2022","Spells Writing Lab Inc","1425 N 2nd St # 22b","19122","Verified","873104","Laboratories","54171414","Research And Development In Biotechnology (Except","10 to 19","Single Loc","13","2009"
"2022","Spencer Gifts","1508 N Mascher St","19122","Verified","594712","Gift Shops","45942013","Gift, Novelty, And Souvenir Retailers","1 to 4","Single Loc","7",""
"2022","Spoiler Down Speed Shop","2109 N 2nd St","19122","Verified","553111","Automobile Parts & Supplies-Retail-New","44133011","Automotive Parts And Accessories Retailers","1 to 4","Single Loc","20",""
"2022","Sponge Factory","1325 N 5th St","19122","Verified","399903","Manufacturers","33999936","All Other Miscellaneous Manufacturing","10 to 19","Single Loc","13",""
"2022","St Malachy School","1012 W Thompson St","19122","Verified","821103","Schools","61111007","Elementary And Secondary Schools","20 to 49","Single Loc","20","1860"
"2022","St Malachy's Rectory","1429 N 11th St","19122","Verified","866104","Church Organizations","81311006","Religious Organizations","1 to 4","Single Loc","42","1850"
"2022","Starr Heating & Air Cond","1201 N 3rd St","19122","Verified","171102","Heating Contractors","23822020","Plumbing, Heating, And Air-Conditioning Contractor","5 to 9","Single Loc","8",""
"2022","Stateside","1700 N Hancock St","19122","Verified","592107","Tasting Rooms","44532007","Beer, Wine, And Liquor Retailers","20 to 49","Single Loc","9",""
"2022","Steel Factory Condos Assoc","1524 N Hancock St","19122","Verified","651301","Condominiums","53111004","Lessors Of Residential Buildings And Dwellings","10 to 19","Single Loc","15",""
"2022","Stianchie, Lydia","2131 N Broad St","19122","Verified","804939","Pharmacists","62133002","Offices Of Mental Health Practitioners (Except Phy","1 to 4","Single Loc","7",""
"2022","Stocum, Mackenzie M","1736 Waterloo St # B","19122","Verified","832282","Counselors","62419036","Other Individual And Family Services","","Single Loc","4",""
"2022","Stonewall Contracting LLC","2144 N 2nd St","19122","Verified","179977","Contractors","23899018","All Other Specialty Trade Contractors","5 to 9","Single Loc","12",""
"2022","Studio B","1600 N 5th St","19122","Verified","781203","Audio-Visual Production Service","51211003","Motion Picture And Video Production","5 to 9","Single Loc","13",""
"2022","Studio Polymathic","1425 N 2nd St # 3k","19122","Verified","733603","Graphic Designers","54143006","Graphic Design Services","1 to 4","Single Loc","12",""
"2022","Studio Z","1400 N American St","19122","Verified","733603","Graphic Designers","54143006","Graphic Design Services","5 to 9","Single Loc","19","2007"
"2022","Subway","1936 Liacouras Walk","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Branch","14",""
"2022","Sullivan Caritable Trust","1415 N Broad St # 226","19122","Verified","839998","Non-Profit Organizations","81331908","Other Social Advocacy Organizations","100 to 249","Single Loc","31","2000"
"2022","Sullivan Owen","1639 N Hancock St # 102","19122","Verified","866107","Churches","81311008","Religious Organizations","1 to 4","Single Loc","15","2011"
"2022","Sungard","800 W Montgomery Ave","19122","Verified","737206","Software/Application/Platform Publishing","51321005","Software Publishers","10 to 19","Single Loc","12",""
"2022","Sunoco","1701 N 3rd St","19122","Verified","554101","Service Stations-Gasoline & Oil","45712003","Other Gasoline Stations","1 to 4","Branch","12",""
"2022","Sunray Drugs Progress Plaza","1501 N Broad St","19122","Verified","591205","Pharmacies","45611009","Pharmacies And Drug Retailers","1 to 4","Single Loc","16",""
"2022","Surian, Paul","110 W Susquehanna Ave","19122","Verified","804939","Pharmacists","62133002","Offices Of Mental Health Practitioners (Except Phy","1 to 4","Single Loc","7",""
"2022","Sutton's","1706 N 5th St","19122","Verified","581301","Bars","72241001","Drinking Places (Alcoholic Beverages)","1 to 4","Single Loc","8","2018"
"2022","Szwanki, Victor","1801 N Broad St","19122","Verified","804918","Physical Therapists","62134007","Offices Of Physical, Occupational And Speech Thera","1 to 4","Single Loc","7",""
"2022","Taco Riendo Restaurant","1301 N 5th St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","22",""
"2022","Tais Vietnamese Food","1835 N 12th St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","35",""
"2022","Tajdeed Redevelopment","250 W Oxford St","19122","Verified","874201","Business Management Consultants","54161401","Process, Physical Distribution, And Logistics Cons","1 to 4","Single Loc","11",""
"2022","Tajdeed Redevelopment Assoc LP","1505 N Cadwallader St","19122","Verified","653102","Office & Desk Space-Rental","53131205","Nonresidential Property Managers","10 to 19","Single Loc","11",""
"2022","Tamora Building Systems","1600 N American St","19122","Verified","154213","Building Contractors","23622005","Commercial And Institutional Building Construction","1 to 4","Single Loc","12",""
"2022","Tandoor","1832 N Front St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","11",""
"2022","Taylor, Elton Do","1200 Germantown Ave","19122","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","8",""
"2022","Team Revolution Technology","1755 N 13th St Pmb 237","19122","Verified","738959","Information & Referral Svcs","51929010","Web Search Portals And All Other Information Servi","10 to 19","Single Loc","12",""
"2022","Tees Delivered","1627 N 2nd St","19122","Verified","569917","T-Shirts-Retail","45811063","Clothing And Clothing Accessories Retailers","1 to 4","Single Loc","12",""
"2022","Temple Association Of Univ Pro","1805 N Broad St","19122","Verified","866110","Religious Organizations","81311021","Religious Organizations","5 to 9","Single Loc","10",""
"2022","Temple Contemporary-Tyler Sch","2001 N 13th St","19122","Verified","599969","Art Galleries & Dealers","45992002","Art Dealers","5 to 9","Single Loc","9","1985"
"2022","Temple Hospital Trauma Clinic","1947 N 12th St # 2","19122","Verified","801104","Clinics","62111129","Offices Of Physicians (Except Mental Health Specia","10 to 19","Single Loc","8",""
"2022","Temple Hospital Trauma Clinic","1330 Polett Walk # 2mezanine","19122","Verified","801104","Clinics","62111129","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","9",""
"2022","Temple Invisible Children","1801 N Broad St","19122","Verified","839907","Fund Raising Counselors & Organizations","81321901","Other Grantmaking And Giving Services","5 to 9","Single Loc","12",""
"2022","Temple Mq0107882 Biology","12th Norris Sts","19122","Verified","829929","Educational Service-Business","61171003","Educational Support Services","10 to 19","Single Loc","15",""
"2022","Temple News","1755 N 13th St # 315","19122","Verified","599401","News Dealers","45921018","Book Retailers And News Dealers","1 to 4","Single Loc","14","1895"
"2022","Temple Sports Complex","N 13th St","19122","Verified","794104","Stadiums Arenas & Athletic Fields","71131003","Promoters Of Performing Arts, Sports, And Similar","20 to 49","Single Loc","7",""
"2022","Temple U Student Health Svc","3509 Nbroad St 5 Th Flr","19122","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","5 to 9","Branch","8",""
"2022","Temple Univ Student Health","1810 Liacouras Walk # 4","19122","Verified","809907","Health Services","62199921","All Other Miscellaneous Ambulatory Health Care Ser","10 to 19","Branch","31","2005"
"2022","Temple University","1300 Cecil B Moore Ave # 251","19122","Verified","804922","Psychologists","62139936","Offices Of All Other Miscellaneous Health Practiti","20 to 49","Single Loc","32",""
"2022","Temple University","1801 Liacouras Walk","19122","Verified","829972","Education Centers","61171001","Educational Support Services","1 to 4","Branch","8",""
"2022","Temple University","1801 Liacouras Walk # 362","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","20 to 49","Branch","7",""
"2022","Temple University","1801 N Broad St","19122","Verified","822101","Schools-Universities & Colleges Academic","61131009","Colleges, Universities, And Professional Schools","100 to 249","Subsidiary","32","1882"
"2022","Temple University Clg Of Edu","1301 Cecil B Moore Ave # 150","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","10 to 19","Branch","15","1963"
"2022","Temple University Clg-Pubc","1101 W Montgomery Ave # 370","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","10 to 19","Branch","9",""
"2022","Temple University Dpt-Jrnlsm","2020 N 13th St # 316","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","10 to 19","Branch","17","1963"
"2022","Temple University Fox Sch-Bus","1801 Liacouras Walk","19122","Verified","824401","Schools-Business & Secretarial","61141004","Business And Secretarial Schools","250 to 499","Branch","12","2005"
"2022","Temple University Law Library","1719 N Broad St","19122","Verified","823106","Libraries-Public","51921006","Libraries And Archives","5 to 9","Branch","33","2005"
"2022","Temple University Newman Ctr","2129 N Broad St","19122","Verified","866107","Churches","81311008","Religious Organizations","1 to 4","Branch","42",""
"2022","Temple University Ofc-Univ","1910 Liacouras Walk # 201-301","19122","Verified","702106","Student Housing","72131009","Rooming And Boarding Houses, Dormitories, And Work","50 to 99","Branch","17",""
"2022","Temple University Physicians","1101 W Montgomery Ave","19122","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","10 to 19","Branch","14","2005"
"2022","Temple University Press","1852 N 10th St","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","10 to 19","Single Loc","11","1969"
"2022","Temple University Sch-Sport","1810 N 13th St # 111","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","50 to 99","Branch","15","1919"
"2022","Temple University-Army Rotc","1301 Cecil B Moore Ave","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","10 to 19","Branch","15","1974"
"2022","Temple University-Board-Trsts","1330 Pollet Walk","19122","Verified","822114","Univ/Clg-Governing Body/Regent/Trustee","61131014","Colleges, Universities, And Professional Schools","10 to 19","Headquarter","18",""
"2022","Temple University-Boyer Clg","2001 N 13th St","19122","Verified","829979","Schools Music","61161010","Fine Arts Schools","5 to 9","Branch","15","1962"
"2022","Temple University-Ctr","1301 Cecil B Moore Ave","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","10 to 19","Branch","9","1969"
"2022","Temple University-Facilities","1009 W Montgomery Ave","19122","Verified","874401","Facilities Management","56121003","Facilities Support Services","50 to 99","Branch","17","1969"
"2022","Temple University-Human Rsrcs","1755 N 13th St # 1","19122","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","10 to 19","Branch","11","1963"
"2022","Temple University-Main Campus","1755 N 13th St","19122","Verified","594214","Books School & Textbooks","45921013","Book Retailers And News Dealers","10 to 19","Branch","9",""
"2022","Temple University-Strategic","1101 W Montgomery Ave # 3","19122","Verified","824401","Schools-Business & Secretarial","61141004","Business And Secretarial Schools","10 to 19","Branch","11","1884"
"2022","Theis, Jaron M Dmd","1720r N Hancock St","19122","Verified","802101","Dentists","62121003","Offices Of Dentists","1 to 4","Single Loc","6",""
"2022","Three Brothers Food Corp","412 Diamond St","19122","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","11",""
"2022","Tie Factory","1720 N 5th St","19122","Verified","399903","Manufacturers","33999936","All Other Miscellaneous Manufacturing","10 to 19","Single Loc","13",""
"2022","Tili Fish Realty Inc","1848 N Hancock St # C","19122","Verified","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","5 to 9","Single Loc","11",""
"2022","Tim The Key Guy","1702 N 2nd St","19122","Verified","769962","Locks & Locksmiths","56162204","Locksmiths","1 to 4","Single Loc","6",""
"2022","Tmc The Mendez","1627 N 2nd St # 130","19122","Verified","152103","General Contractors","23611505","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","13",""
"2022","Today's Look","1206 N 4th St","19122","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","27",""
"2022","Tomlinson Thtr-Temple Unvsrty","1301 W Norris St","19122","Verified","792207","Theatres-Live","71111007","Theater Companies And Dinner Theaters","5 to 9","Single Loc","19","2005"
"2022","Tommie's Barber Shop","1347 W Susquehanna Ave","19122","Verified","724101","Barbers","81211101","Barber Shops","1 to 4","Single Loc","28",""
"2022","Totsky, Eliza B","2131 N Broad St","19122","Verified","804939","Pharmacists","62133002","Offices Of Mental Health Practitioners (Except Phy","1 to 4","Single Loc","6",""
"2022","Touba Industries LLC","1530 N 5th St","19122","Verified","399903","Manufacturers","33999936","All Other Miscellaneous Manufacturing","10 to 19","Single Loc","12",""
"2022","Towey Playground","1832 N Howard St","19122","Verified","799956","Playgrounds","71219006","Nature Parks And Other Similar Institutions","1 to 4","Single Loc","33",""
"2022","Tran, Lily","1717 N 12th St # F","19122","Verified","804939","Pharmacists","62133002","Offices Of Mental Health Practitioners (Except Phy","1 to 4","Single Loc","6",""
"2022","Trend Eye Care 2","1501 N Broad St # 7","19122","Verified","804201","Optometrists OD","62132003","Offices Of Optometrists","5 to 9","Single Loc","11","2015"
"2022","Tru Mark Financial Cu","1900 N 5th St","19122","Verified","606101","Credit Unions","52213003","Credit Unions","5 to 9","Branch","17",""
"2022","Trust Tax Svc Inc","1452 N 4th St","19122","Verified","729101","Tax Return Preparation & Filing","54121301","Tax Preparation Services","1 to 4","Single Loc","8","2018"
"2022","Two Easy Enterprise LLC","2102 N 8th St","19122","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","12",""
"2022","Tyler School Of Art","2001 N 13th St","19122","Verified","829919","Art Instruction & Schools","61161001","Fine Arts Schools","10 to 19","Single Loc","15","1935"
"2022","U-Haul Neighborhood Dealer","1918 N 5th St","19122","Verified","751303","Truck Renting & Leasing","53212016","Truck, Utility Trailer, And Rv (Recreational Vehic","1 to 4","Branch","5","2021"
"2022","Umbrella Factory LP","1401 N 5th St","19122","Verified","399903","Manufacturers","33999936","All Other Miscellaneous Manufacturing","10 to 19","Single Loc","9",""
"2022","Ummies Kiddie & Kottage","1441 Germantown Ave","19122","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","15",""
"2022","United Bank Of Philadelphia","1501 N Broad St # 3","19122","Verified","602101","Banks","52211002","Commercial Banking","1 to 4","Branch","20","1968"
"2022","United Banner LLC","2011 N Howard St","19122","Verified","513140","Flags & Banners-Mfrs' Supplies (Whls)","42431012","Piece Goods, Notions, And Other Dry Goods Merchant","1 to 4","Single Loc","13",""
"2022","United Nations Travel","1714 N Mascher St","19122","Verified","472402","Travel Agencies & Bureaus","56151007","Travel Agencies","1 to 4","Single Loc","6","2020"
"2022","Universal Granite & Marble Inc","216 W Norris St","19122","Verified","503231","Stone-Natural-Wholesale","42332043","Brick, Stone, And Related Construction Material Me","1 to 4","Single Loc","15","2004"
"2022","University Village At Temple","1701 N 10th St","19122","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","10 to 19","Branch","22",""
"2022","Until Midnight","1350 N 10th St # 10f","19122","Verified","596303","Subscription Agencies","45921016","Book Retailers And News Dealers","1 to 4","Single Loc","8","2018"
"2022","Ups Store","1201 N 3rd St","19122","Verified","733101","Mailing & Shipping Services","54186007","Direct Mail Advertising","1 to 4","Branch","9",""
"2022","Ups Store","1755 N 13th St # C4","19122","Verified","733101","Mailing & Shipping Services","54186007","Direct Mail Advertising","1 to 4","Branch","16",""
"2022","Usps","1299 N 7th St","19122","Verified","431101","Post Offices","49111001","Postal Service","50 to 99","Branch","42",""
"2022","V G Family Food Mkt Inc","804 W Susquehanna Ave","19122","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","5","2021"
"2022","Valdez Food Inc","1815 N 2nd St","19122","Verified","209998","Food Preparations NEC (Mfrs)","31199905","All Other Miscellaneous Food Manufacturing","10 to 19","Single Loc","42","1936"
"2022","Valentin Tire Svc","1343 N 5th St","19122","Verified","553123","Tire-Dealers-Retail","44134001","Tire Dealers","1 to 4","Single Loc","15",""
"2022","Verdi Contracting","2114 N 6th St","19122","Verified","152103","General Contractors","23611505","New Single-Family Housing Construction (Except For","10 to 19","Single Loc","38",""
"2022","Very Inc","2131 N American St","19122","Verified","509909","Records Tapes & Compact Discs-Wholesale","42512036","Wholesale Trade Agents And Brokers","1 to 4","Single Loc","30",""
"2022","Veyko Inc","1600 N American St","19122","Verified","737206","Software/Application/Platform Publishing","51321005","Software Publishers","10 to 19","Single Loc","10",""
"2022","Vikrant Photography","1714 N Mascher St","19122","Verified","722121","Photography","54192121","Photography Studios, Portrait","1 to 4","Single Loc","13","1996"
"2022","Visionquest Inc","1415 N Broad St","19122","Verified","832218","Social Service & Welfare Organizations","62419012","Other Individual And Family Services","10 to 19","Single Loc","13",""
"2022","Vius","1639 N Hancock St # 407","19122","Verified","737311","Website Design Service","54151217","Computer Systems Design Services","5 to 9","Branch","17",""
"2022","Wah Lung Restaurant","1449 N Franklin St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","25",""
"2022","Watson Chiropractic","1501 N Broad St # 17","19122","Verified","804101","Chiropractors DC","62131002","Offices Of Chiropractors","1 to 4","Single Loc","14",""
"2022","Weallcare LLC","1706 N 2nd St","19122","Verified","808201","Home Health Service","62161001","Home Health Care Services","10 to 19","Single Loc","9",""
"2022","Welfare Pride Inc Rights","1231 N Franklin St","19122","Verified","832218","Social Service & Welfare Organizations","62419012","Other Individual And Family Services","10 to 19","Single Loc","30",""
"2022","Western Union Agent Location","191 Liacoras Walk","19122","Verified","609902","Money Order Service","52232008","Financial Transactions Processing, Reserve, And Cl","1 to 4","Branch","6",""
"2022","Western Union Agent Location","2131-59 Broad St","19122","Verified","609910","Money Transfer Service","52232010","Financial Transactions Processing, Reserve, And Cl","1 to 4","Branch","6",""
"2022","Western Union Agent Location","1452 N 4th St","19122","Verified","609910","Money Transfer Service","52232010","Financial Transactions Processing, Reserve, And Cl","1 to 4","Branch","6",""
"2022","Western Union Agent Location","1853 N 2nd St","19122","Verified","609902","Money Order Service","52232008","Financial Transactions Processing, Reserve, And Cl","1 to 4","Branch","6",""
"2022","Western Union Agent Location","1900 N 9th St","19122","Verified","609910","Money Transfer Service","52232010","Financial Transactions Processing, Reserve, And Cl","1 to 4","Branch","6",""
"2022","Wheelhouse Homecare Health Svc","Po Box 37020","19122","Verified","809907","Health Services","62199921","All Other Miscellaneous Ambulatory Health Care Ser","10 to 19","Single Loc","5",""
"2022","Which WICH Superior Sandwiches","1755 N 13th St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Branch","7",""
"2022","Willcare Home Health Care","1512 N Marshall St","19122","Verified","808201","Home Health Service","62161001","Home Health Care Services","1 to 4","Single Loc","6","2020"
"2022","William Penn Devmnt Coalition","1409 Kings Pl","19122","Verified","839935","Coalitions","81331922","Other Social Advocacy Organizations","5 to 9","Single Loc","11",""
"2022","Wilson's Carpentering Svc LLC","1453 N 7th St","19122","Verified","175102","Carpenters","23835003","Finish Carpentry Contractors","1 to 4","Single Loc","6","2020"
"2022","Wingstop","1501 N Broad St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Branch","6","2020"
"2022","Wm Mulherin's Sons","1355 N Front St","19122","Verified","701101","Hotels & Motels","72111002","Hotels (Except Casino Hotels) And Motels","","Single Loc","10",""
"2022","Wolf Cafe","2045 N Philip St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","12",""
"2022","Womens Community","2036 N 4th St","19122","Verified","832218","Social Service & Welfare Organizations","62419012","Other Individual And Family Services","10 to 19","Single Loc","13",""
"2022","Womens Community Rvtlztn","100 W Oxford St","19122","Verified","832218","Social Service & Welfare Organizations","62419012","Other Individual And Family Services","20 to 49","Single Loc","33",""
"2022","Xotic Hookah Lounge","1617 N 2nd St","19122","Verified","581301","Bars","72241001","Drinking Places (Alcoholic Beverages)","5 to 9","Single Loc","12",""
