version_year,company_name,address,zip_code,record_type,primary_sic_code,primary_sic_description,primary_naics,primary_naics_description,location_employee_size_range,location_type,years_in_database,latitude,longitude
2017,Alliance Of Black Social Wrkrs,"1924 W Diamond St, Philadelphia, PA 19121",19121,Verified,863101,Labor Organizations,81393001,Labor Unions And Similar Labor Organizations,5 to 9,Single Loc,25,39.9858027,-75.1655052
2017,Allied Universal,"1538 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,738103,Armored Car Service,56161301,Armored Car Services,1 to 4,Branch,14,39.9789571,-75.1606309
2017,Alpha & Omega Painting Inc,"1509 N Hollywood St, Philadelphia, PA 19121",19121,Verified,174203,Dry Wall Contractors,23831003,Drywall And Insulation Contractors,1 to 4,Single Loc,12,39.9792755,-75.1829253
2017,Amc Broadstreet 7,"1600 N Broad St, Philadelphia, PA 19121",19121,Verified,783201,Theatres-Movie,51213101,Motion Picture Theaters (Except Drive-Ins),50 to 99,Branch,10,39.9774961,-75.1584795
2017,Amos Playground,"1817 N 16th St, Philadelphia, PA 19121",19121,Verified,912104,Government Offices-City/Village & Twp,92112006,Legislative Bodies,10 to 19,Single Loc,34,39.9809461,-75.1606197
2017,Andrew H Lawson Co,"2927 W Thompson St, Philadelphia, PA 19121",19121,Verified,275202,Printers (Mfrs),32311109,Commercial Printing (Except Screen And Books),10 to 19,Single Loc,26,39.9767863,-75.1843644
2017,"Andros, David MD","1509 N 17th St, Philadelphia, PA 19121",19121,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,1 to 4,Single Loc,14,39.9768031,-75.1630104
2017,Angie B Photo,"1242 N Hollywood St, Philadelphia, PA 19121",19121,Verified,733501,Photographers-Commercial,54192204,Commercial Photography,1 to 4,Single Loc,10,39.9758291,-75.1839418
2017,Anns Nails,"2234 Ridge Ave, Philadelphia, PA 19121",19121,Verified,723102,Manicuring,81211302,Nail Salons,1 to 4,Single Loc,19,39.9800817,-75.1720942
2017,Argo Trans Intl,"1531 N 16th St, Philadelphia, PA 19121",19121,Verified,874201,Business Management Consultants,54161401,"Process, Physical Distribution, And Logistics Cons",1 to 4,Single Loc,14,39.9773686,-75.1612245
2017,Art Sanctuary,"1801 W Diamond St, Philadelphia, PA 19121",19121,Verified,599969,Art Galleries & Dealers,45992002,Art Dealers,1 to 4,Single Loc,11,39.9854865,-75.1631528
2017,Asanti Hair Studio,"1220 N Broad St, Philadelphia, PA 19121",19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,5 to 9,Single Loc,14,39.9728561,-75.1594785
2017,Ashanti's Hair Design,"2734 Ridge Ave, Philadelphia, PA 19121",19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,24,39.9854645,-75.1789173
2017,Asian American Senior Assn-Pa,"1615 N 23rd St # 404, Philadelphia, PA 19121",19121,Verified,861102,Associations,81391002,Business Associations,1 to 4,Single Loc,11,NA,NA
2017,Atelier Art Storage LLC,"1330 N 30th St, Philadelphia, PA 19121",19121,Verified,599969,Art Galleries & Dealers,45992002,Art Dealers,1 to 4,Single Loc,19,39.9773036,-75.1847393
2017,Atelier Art Svc,"3060 W Jefferson St, Philadelphia, PA 19121",19121,Verified,899908,Art Restoring,71151031,"Independent Artists, Writers, And Performers",5 to 9,Single Loc,14,39.9789994,-75.1855032
2017,Athletic Recreation Ctr,"1400 N 26th St, Philadelphia, PA 19121",19121,Verified,799701,Recreation Centers,71394015,Fitness And Recreational Sports Centers,1 to 4,Single Loc,28,39.977112,-75.178271
2017,Atlas Heating & Cooling,"1601 W Jefferson St, Philadelphia, PA 19121",19121,Verified,171117,Air Conditioning Contractors & Systems,23822002,"Plumbing, Heating, And Air-Conditioning Contractor",1 to 4,Single Loc,13,39.9763126,-75.1627089
2017,Atlas Insurance,"2020 Ridge Ave, Philadelphia, PA 19121",19121,Verified,738911,License Services,56149904,All Other Business Support Services,10 to 19,Single Loc,33,39.9759693,-75.1688662
2017,Baker Funeral Home PC,"2008 N Broad St, Philadelphia, PA 19121",19121,Verified,726105,Funeral Plans (Pre-Arranged),81221005,Funeral Homes And Funeral Services,5 to 9,Single Loc,19,39.9835551,-75.1569549
2017,Bakery Of Philadelphia,"1400 N 30th St, Philadelphia, PA 19121",19121,Verified,508404,Bakers Equipment (Whls),42383004,Industrial Machinery And Equipment Merchant Wholes,5 to 9,Single Loc,12,39.9779117,-75.1846128
2017,Ballard Billiards,"2004 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,799912,Billiard Parlors,61162003,Sports And Recreation Instruction,1 to 4,Single Loc,13,39.9797974,-75.1677402
2017,Bank Of America,"1600 N Broad St # 11, Philadelphia, PA 19121",19121,Verified,602101,Banks,52211002,Commercial Banking,10 to 19,Branch,20,39.9785151,-75.1582404
2017,Barney's Breakfast & Lunch,"2453 Ridge Ave, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,12,39.9827773,-75.1750595
2017,Beale Flowers-The Original,"1823 N 31st St, Philadelphia, PA 19121",19121,Verified,594712,Gift Shops,45942013,"Gift, Novelty, And Souvenir Retailers",1 to 4,Single Loc,42,39.9842554,-75.1844579
2017,Beckett Gardens Apartments,"1402 N 16th St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,16,39.9750578,-75.1621112
2017,Beech Capital Venture Corp,"1510 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,621109,Investment Bankers,52315001,Investment Banking And Securities Intermediation,5 to 9,Single Loc,17,39.9788762,-75.1599933
2017,Beech Corp Inc,"1510 Cecil B Moore Ave # 300, Philadelphia, PA 19121",19121,Verified,839908,Human Services Organizations,81331101,Human Rights Organizations,10 to 19,Single Loc,15,NA,NA
2017,Beech International Village,"1520 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,702103,Hostels,72131006,"Rooming And Boarding Houses, Dormitories, And Work",5 to 9,Single Loc,14,39.9786847,-75.161043
2017,Bella's Breakfast & Lunch,"2159 Ridge Ave, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,23,39.9792689,-75.1704698
2017,Bethany Child Care Ctr,"1910 W Diamond St, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,10 to 19,Single Loc,39,39.985729,-75.164934
2017,Bliss Hair Loft,"2224 W Montgomery Ave, Philadelphia, PA 19121",19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,11,39.9818472,-75.1715631
2017,Bob's Thrift Store,"1758 N 31st St, Philadelphia, PA 19121",19121,Verified,593222,Thrift Shops,45951040,Used Merchandise Retailers,1 to 4,Single Loc,9,39.9836255,-75.1850118
2017,Bobby's Barber Shop,"2925 W Diamond St, Philadelphia, PA 19121",19121,Verified,724101,Barbers,81211101,Barber Shops,1 to 4,Single Loc,31,39.9879651,-75.1810979
2017,Boot's Coin Op Laundromat,"2308 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,721501,Laundries-Self Service,81231001,Coin-Operated Laundries And Drycleaners,1 to 4,Single Loc,24,39.9804741,-75.1729146
2017,Bp Food Shops,"1840 Ridge Ave, Philadelphia, PA 19121",19121,Verified,554101,Service Stations-Gasoline & Oil,45712003,Other Gasoline Stations,1 to 4,Branch,41,39.972452,-75.166708
2017,Brewerytown Sharswood Cmnty,"2514 Stewart St, Philadelphia, PA 19121",19121,Verified,861102,Associations,81391002,Business Associations,1 to 4,Single Loc,17,39.9778078,-75.1770427
2017,Brightside Academy,"2010 N Van Pelt St, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,10 to 19,Branch,14,39.9850513,-75.1691542
2017,Broad Wellness & Chiro Ctr,"1248 N Broad St, Philadelphia, PA 19121",19121,Verified,804101,Chiropractors DC,62131002,Offices Of Chiropractors,1 to 4,Single Loc,15,39.9727265,-75.1592701
2017,Brothers Corner,"2012 Ridge Ave, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,18,39.9756066,-75.1686765
2017,Bruncheria,"1507 N 33rd St, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,17,39.9799762,-75.1888327
2017,Buie Tree Svc,"1613 N 29th St, Philadelphia, PA 19121",19121,Verified,078301,Tree Service,56173022,Landscaping Services,1 to 4,Single Loc,15,39.9807539,-75.1819065
2017,Burger King,"1600 N Broad St, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,20 to 49,Branch,11,39.9774961,-75.1584795
2017,C & J Communication,"2242 Ridge Ave, Philadelphia, PA 19121",19121,Verified,489903,Communications,51781001,All Other Telecommunications,5 to 9,Single Loc,15,39.979968,-75.1717675
2017,C & P Discount,"1406 W Susquehanna Ave, Philadelphia, PA 19121",19121,Verified,571929,Housewares-Retail,44912936,All Other Home Furnishings Retailers,1 to 4,Single Loc,39,39.9862453,-75.156608
2017,C Food Market,"2440 W Norris St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,18,39.9853658,-75.1745429
2017,Calcutta House,"1221 N 19th St, Philadelphia, PA 19121",19121,Verified,805909,Personal Care Homes,62311019,Nursing Care Facilities (Skilled Nursing Facilitie,5 to 9,Single Loc,21,39.9736058,-75.1670359
2017,Camp Shiloh,"1500 W Master St # 34, Philadelphia, PA 19121",19121,Verified,703203,Camps,72121403,Recreational And Vacation Camps (Except Campground,5 to 9,Single Loc,18,NA,NA
2017,"Carandang-Pani, Norma H MD","1900 N 20th St, Philadelphia, PA 19121",19121,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,1 to 4,Single Loc,17,39.9834612,-75.1671295
2017,Carelas Pch-Assisted Living LC,"1437 N 28th St, Philadelphia, PA 19121",19121,Verified,836105,Residential Care Homes,62331206,Assisted Living Facilities For The Elderly,5 to 9,Single Loc,16,39.9781334,-75.1808453
2017,Cassidi's Bright Star Child Cr,"1622 W Susquehanna Ave, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,5 to 9,Single Loc,11,39.9866569,-75.160209
2017,Cecil B Computer Nerds,"2006 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,573407,Computer & Equipment Dealers,44921069,Electronics And Appliance Retailers,1 to 4,Single Loc,11,39.9798073,-75.1678035
2017,Cecil B Moore Grocery,"2604 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,21,39.9810875,-75.177557
2017,Cecil B Moore Library,"2320 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,823104,City Government-Libraries,51921001,Libraries And Archives,5 to 9,Branch,32,39.9804771,-75.1735413
2017,Cecil B Moore Public Library,"2320 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,823106,Libraries-Public,51921006,Libraries And Archives,5 to 9,Branch,14,39.9804771,-75.1735413
2017,Cedar Grove Museum,"Lansdowne Dr, Philadelphia, PA 19121",19121,Verified,841201,Museums,71211001,Museums,1 to 4,Single Loc,21,39.9753663,-75.1952104
2017,Centurion Construction Corp,"1510 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,152144,Construction Companies,23611512,New Single-Family Housing Construction (Except For,1 to 4,Single Loc,13,39.9788762,-75.1599933
2017,Champs Diner,"1539 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,5 to 9,Single Loc,11,39.9792738,-75.1609678
2017,Checkers Drive-In Restaurant,"1208 N Broad St, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,10 to 19,Branch,31,39.9719021,-75.1594533
2017,Children Of Destiny,"1639 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,5 to 9,Single Loc,14,39.9795041,-75.1625481
2017,Children's Learning Arc Too,"2316 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,829972,Education Centers,61171001,Educational Support Services,1 to 4,Single Loc,10,39.980519,-75.1731735
2017,China Bowl,"1640 W Susquehanna Ave, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,21,39.9866854,-75.1607006
2017,China House,"2045 W Diamond St, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,13,39.9862342,-75.1675591
2017,China House,"1430 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,24,39.9786486,-75.1593601
2017,China Lotus Restaurant,"1301 N 29th St, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,35,39.9763765,-75.1828602
2017,China Star,"1600 N Broad St # 5, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,10,NA,NA
2017,Christle Barber & Beauty Salon,"2139 W Diamond St, Philadelphia, PA 19121",19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,14,39.9864261,-75.169071400000007
2017,Cisse Tounkara Hair Braiding,"2221 Ridge Ave, Philadelphia, PA 19121",19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,30,39.9802308,-75.1717311
2017,Citro Communications,"1504 N Carlisle St # 3, Philadelphia, PA 19121",19121,Verified,811113,Legal Service Plans,54111015,Offices Of Lawyers,1 to 4,Single Loc,29,NA,NA
2017,City Food Market,"1445 N 19th St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,20,39.976776,-75.1662913
2017,City Of Philadelphia,"1817 N 16th St, Philadelphia, PA 19121",19121,Verified,912104,Government Offices-City/Village & Twp,92112006,Legislative Bodies,5 to 9,Single Loc,11,39.9809461,-75.1606197
2017,City Of Philadelphia,"2501 W Diamond St, Philadelphia, PA 19121",19121,Verified,912104,Government Offices-City/Village & Twp,92112006,Legislative Bodies,5 to 9,Single Loc,14,39.987124,-75.174504
2017,City View Pizza,"1434 Cecil B Moore Ave # A, Philadelphia, PA 19121",19121,Verified,581222,Pizza,72251115,Full-Service Restaurants,5 to 9,Single Loc,19,39.978803,-75.1594789
2017,Clara Baldwin Manor,"2600 W Susquehanna Ave # 104, Philadelphia, PA 19121",19121,Verified,805904,Retirement Communities & Homes,62331101,Continuing Care Retirement Communities,5 to 9,Single Loc,33,NA,NA
2017,"Clay, Helen T MD","1800 N Broad St, Philadelphia, PA 19121",19121,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,1 to 4,Single Loc,11,39.980358,-75.15766
2017,"Cohen, KARA M","2144 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,804907,Nurses-Practitioners,62139923,Offices Of All Other Miscellaneous Health Practiti,1 to 4,Single Loc,9,39.9801736,-75.1700423
2017,Columbia Deli,"1634 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,581209,NA,NA,NA,1 to 4,Single Loc,17,39.9790938,-75.1626325
2017,Community Concern Ctr,"2721 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,20 to 49,Single Loc,25,39.9816852,-75.1797613
2017,Community Corrections Ctr,"1628 N 15th St, Philadelphia, PA 19121",19121,Verified,912102,Government Offices-State,92112008,Legislative Bodies,10 to 19,Branch,37,39.9785595,-75.1598784
2017,Community Food Market,"2901 W Oxford St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,16,39.9806184,-75.1823176
2017,Community Land Trust Corp,"1500 W Thompson St, Philadelphia, PA 19121",19121,Verified,839937,Environmental Conservation/Ecologcl Org,81331210,"Environment, Conservation And Wildlife Organizatio",20 to 49,Single Loc,20,39.9732231,-75.1609643
2017,Complete Real Estate Svc,"1601 W Jefferson St, Philadelphia, PA 19121",19121,Verified,655202,Real Estate Developers,23721005,Land Subdivision,5 to 9,Single Loc,12,39.9763126,-75.1627089
2017,Compro Tax,"1618 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,729101,Tax Return Preparation & Filing,54121301,Tax Preparation Services,5 to 9,Single Loc,23,39.979015,-75.1618423
2017,Computer Repair,"2132 Ridge Ave, Philadelphia, PA 19121",19121,Verified,737801,Computers-Service & Repair,81121022,Electronic And Precision Equipment Repair And Main,1 to 4,Single Loc,9,39.978699,-75.170323
2017,Computers Ruscorporation,"1906 N 22nd St, Philadelphia, PA 19121",19121,Verified,573407,Computer & Equipment Dealers,44921069,Electronics And Appliance Retailers,1 to 4,Single Loc,9,39.983661,-75.1704108
2017,Congressman Robert Nc Nix Hms,"1418 N 15th St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,1 to 4,Single Loc,42,39.9750401,-75.1604965
2017,Creative Image Unisex Salon,"2737 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,724101,Barbers,81211101,Barber Shops,1 to 4,Single Loc,13,39.9817442,-75.1801432
2017,Cricket Wireless Auth Retailer,"2314 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,481207,Cellular Telephones (Services),51711214,Wireless Telecommunications Carriers (Except Satel,1 to 4,Branch,11,39.9805143,-75.1731062
2017,Crispus Attucks Post 151 Amer,"1718 N 24th St, Philadelphia, PA 19121",19121,Verified,864102,Veterans' & Military Organizations,81341003,Civic And Social Organizations,1 to 4,Single Loc,17,39.9813153,-75.1741649
2017,Curls,"1757 N Newkirk St, Philadelphia, PA 19121",19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,15,39.9828201,-75.1804641
2017,Cycles LLC,"1426 W Susquehanna Ave, Philadelphia, PA 19121",19121,Verified,594141,Bicycles-Dealers,45911006,Sporting Goods Retailers,1 to 4,Single Loc,10,39.9862335,-75.1574582
2017,D & J Cleaners,"1518 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,721201,Cleaners,81232002,Drycleaning And Laundry Services (Except Coin-Oper,1 to 4,Single Loc,13,39.978902,-75.160204
2017,D & J Hardware,"1525 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,525104,Hardware-Retail,44414005,Hardware Retailers,1 to 4,Single Loc,42,39.9792425,-75.1605307
2017,D'Zert Club Inc,"1600 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,864108,Clubs,81341004,Civic And Social Organizations,1 to 4,Single Loc,23,39.9789497,-75.161362
2017,"Daniels, Patricia A Dpm","1900 N 20th St, Philadelphia, PA 19121",19121,Verified,804301,Podiatrists,62139103,Offices Of Podiatrists,1 to 4,Single Loc,17,39.9834612,-75.1671295
2017,Darryl Turner Grocery,"1753 N 21st St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,31,39.9815765,-75.1687457
2017,David Thompson Photography,"1702 W Diamond St, Philadelphia, PA 19121",19121,Verified,722121,Photography,54192121,"Photography Studios, Portrait",1 to 4,Single Loc,12,39.9852813,-75.1615845
2017,David's Place,"2340 Ridge Ave, Philadelphia, PA 19121",19121,Verified,581212,Caterers,72232001,Caterers,5 to 9,Single Loc,13,39.9814677,-75.1737923
2017,De Body Fashion,"2610 W Montgomery Ave, Philadelphia, PA 19121",19121,Verified,562101,Women's Apparel-Retail,45811017,Clothing And Clothing Accessories Retailers,1 to 4,Single Loc,15,39.9826036,-75.1773882
2017,Deli Grocery,"2027 N 16th St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,15,39.9844165,-75.1597815
2017,Dialogue Institute,"1700 N Broad St # 315, Philadelphia, PA 19121",19121,Verified,861102,Associations,81391002,Business Associations,1 to 4,Single Loc,11,NA,NA
2017,Diamond Green,NA,19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,14,NA,NA
2017,Diamond Park,"1700 W Susquehanna Ave # 17, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,39,NA,NA
2017,Diamond Pizza,NA,19121,Verified,581222,Pizza,72251115,Full-Service Restaurants,1 to 4,Single Loc,14,NA,NA
2017,Dodge City,"US Highway 130, Philadelphia, PA 19121",19121,Verified,751404,Automobile Leasing,53211105,Passenger Car Rental,5 to 9,Single Loc,17,NA,NA
2017,Dollar General,"2815 Ridge Ave # A, Philadelphia, PA 19121",19121,Verified,533101,Variety Stores,45521903,All Other General Merchandise Retailers,5 to 9,Branch,15,39.9864694,-75.1793202
2017,"Dowen, Karin","1800 N Broad St # 106, Philadelphia, PA 19121",19121,Verified,804918,Physical Therapists,62134007,"Offices Of Physical, Occupational And Speech Thera",1 to 4,Single Loc,11,NA,NA
2017,Dragon Express,"2400 Ridge Ave, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,26,39.9815856,-75.1740753
