Field Name,Field Description
Parent IUSA Number,A unique identifier number for linkage purposes of a parent company
Subsidiary IUSA Number,A unique identifier number for linkage purposes of a subsidiary company
Foreign Parent Flag,Indicates if the parent company is located outside the USA
EIN 1,Employer Identification number 1
EIN 2,Employer Identification number 2
EIN 3,Employer Identification number 3
Fortune 1000 Ranking,Indicates the fortune 1000 ranking of the company if it has one.
Credit Cards Accepted,Type of credit cards accepted by the company.
Last Updated On,Last date associated with the record and any changes made by Infogroup.
Years In Database,Number of years the record has been in the Infogroup database.
Year Established,Year the company began operating.
Square Footage,Indicates the square footage of company's location.
Number of PC's,Indicates the actual number of PCs at the company.
Home Business,Indicates if the record is a business operating out of a home.
Credit Rating,Credit rating of company.
Credit Rating Score,Credit rating numeric score of company.
Credit Score Alpha,Alpha Credit rating of company.
Credit Score Numeric ,Numeric Credit rating of company.
Government Office,Indicates if the company is a government office.
Import Export Flag,"A flag that indicates if the company is an importer, exporter or both."
Own or Lease,Indicates if the company is located in its owned or leased location.
Firm or Individual,Indicates if the company is a firm or a professional individual.
Monday Open,Day and time the company is open for business
Monday Close,Day the company is closed for business
Tuesday Open,Day and time the company is open for business
Tuesday Close,Day the company is closed for business
Wednesday Open,Day and time the company is open for business
Wednesday Close,Day the company is closed for business
Thursday Open,Day and time the company is open for business
Thursday Close,Day the company is closed for business
Friday Open,Day and time the company is open for business
Friday Close,Day the company is closed for business
Saturday Open,Day and time the company is open for business
Saturday Close,Day the company is closed for business
Sunday Open,Day and time the company is open for business
Sunday Close,Day the company is closed for business
Executive First Name,First name of contact on Executive Detail - up to 50 available for output
Executive Last Name,Last name of contact on Executive Detail  - up to 50 available for output
Executive Title,Title of contact on Executive Detail  - up to 50 available for output
Executive Gender,Gender of contact on Executive Detail  - up to 50 available for output
Executive Biography,Biography of contact on Executive Detail - up to 50 available for output
Executive Ethnicity,Ethnicity of contact on Executive Detail  - up to 50 available for output
Ticker Symbol,Ticker symbol of company.
Stock Exchange,Code indicating what stock exchange company is trading on.
Accounting Expenses,"The total cost of accounting, auditing, and bookkeeping services purchased from other firms. estimation of annual expense based upon industry and size."
Advertising  Expenses,"Includes the cost of purchased advertising and promotional services for media coverage, promotional, marketing, public relation services, and other advertising services purchased from others. estimation of annual  expense based upon industry and  size."
Computer Expenses,Includes the cost of all associated computer expenses.
Contract Labor Expenses,"Payments to other firms for the contractual use of their employees. these employees are supplied by other firms to perform specific jobs, and include temporary help and leased employees. estimation of annual expense based upon industry and size."
Insurance Expenses,This item includes the cost of payments made on insurance policies. It does not include the costs of insurance incurred on behalf of employees. estimation of annual expense based upon industry and size.
Legal Expenses,Legal services purchased from other firms. estimation of annual expense based upon industry and size.
Office Supplies Expense,"Includes the cost of other supplies, materials and parts purchased for a company's own use, excluding computer and packaging supplies. estimation of annual expense based upon industry and size."
Management/Administration Expenses,"Management, consulting, administrative, and other professional services purchased from other firms, excluding advertising, legal, accounting and computer services. estimation of annual expense based upon industry and size."
Package Container Expense,"Purchases of containers, wrapping, packing and selling supplies used in packaging, processing, shipping, and selling of goods. estimation of annual expense based upon industry and size."
Payroll and Benefits Expenses,The gross earnings of all employees paid during the calendar year including fringe benefits. estimation of annual expense based upon industry and size.
Purchase Print Expenses,The cost of purchased or contracted printing services. estimation of annual expense based upon industry and size.
Rent Expenses,"Payments made to other companies for the rental or leasing of land, buildings, offices and related structures. estimation of annual expense based upon industry and size."
Telcom Expenses,"All costs for communication services purchased from other companies, including cost of telephone, data transmission, fax, and all other communications services. estimation of annual expense based upon industry and size."
Utilities Expenses,"Includes the cost of electricity and fuels for heating, power or generation of electricity. it also includes the cost of water, sewer and refuse removal. estimation of annual expense based upon industry and size."
Mailing Address,Location mailing address of the company.
Mailing City,Location mailing city of the company.
Mailing State,Location mailing state of the company.
Mailing Zip Code,Location mailing zip code of the company.
Mailing Zip Four,Location mailing zip plus four of the company.
Mailing Carrier Route,Location mailing carrier route of the company.
Mailing Delivery Point Bar Code,Location mailing delivery point bar code of the company.
Twitter,Company's twitter handle - if available
Linked-In,Company's LinkedIn page - if available
Facebook,Company's Facebook page - if available
Affiliated Locations,Indicates the number of branches under a Parent.
Affiliated Records,Indicates the number of branches under a Subsidiary.
